,ROC-AUC,Precision-Recall,MCC,Sensitivity,Specificity,Accuracy,Balanced Accuracy,Precision,theta
0,0.8042937878248486,0.7794334396286572,0.4849755889195668,0.7509433962264151,0.7339622641509433,0.7424528301886792,0.7424528301886792,0.738404452690167,0.5263157894736842
1,0.7949038803844785,0.7696780773976458,0.4754852400715172,0.7339622641509433,0.7415094339622641,0.7377358490566037,0.7377358490566037,0.7395437262357415,0.5263157894736842
2,0.7860315058739764,0.7536076500909562,0.4374719126877426,0.6537735849056604,0.780188679245283,0.7169811320754716,0.7169811320754718,0.7483801295896328,0.5789473684210527
3,0.7941602883588467,0.7642144695118929,0.45674119059219337,0.7160377358490566,0.7405660377358491,0.7283018867924528,0.7283018867924529,0.7340425531914894,0.5263157894736842
4,0.7866140085439659,0.7682229572820559,0.4501613289040173,0.6660377358490566,0.7811320754716982,0.7235849056603774,0.7235849056603774,0.7526652452025586,0.5789473684210527
5,0.7813536845852617,0.7570416739592597,0.43117524888227593,0.7084905660377359,0.7226415094339622,0.715566037735849,0.715566037735849,0.7186602870813397,0.5263157894736842
6,0.7739564791740834,0.7556073233599884,0.41579188970913045,0.6509433962264151,0.7622641509433963,0.7066037735849057,0.7066037735849057,0.732484076433121,0.5789473684210527
7,0.7917070131719474,0.7703603142911348,0.4595144840398043,0.6632075471698113,0.7924528301886793,0.7278301886792453,0.7278301886792453,0.761646803900325,0.5789473684210527
8,0.7914244393022429,0.7733317891126079,0.44809797511956073,0.6575471698113208,0.7867924528301887,0.7221698113207548,0.7221698113207548,0.7551462621885157,0.5789473684210527
9,0.7909625753802337,0.7673959363910506,0.45798004242684587,0.7299338999055713,0.7280453257790368,0.728989612842304,0.7289896128423041,0.7285579641847314,0.5263157894736842
mean,0.7895407662599885,0.765889363102525,0.4517394901352655,0.6930877296131986,0.75695547597413,0.7250216027936643,0.7250216027936643,0.7409531500697623,0.5526315789473684
std,0.007802538967061673,0.007864722415649162,0.019306330356714443,0.03653628582864048,0.025202987610883142,0.01001680285330771,0.010016802853307707,0.012651407836132224,0.026315789473684237
