,fold,ROC-AUC,Precision-Recall,MCC,Sensitivity,Specificity,Accuracy,Balanced Accuracy,Precision,theta,k
154,mean,0.7897567539762061,0.7670823046694413,0.4550990422765085,0.7002538885028596,0.7536571525290858,0.7269555205159728,0.7269555205159728,0.7401674726157723,0.5476190476190477,21
106,mean,0.7895407662599885,0.765889363102525,0.4517394901352655,0.6930877296131986,0.75695547597413,0.7250216027936643,0.7250216027936643,0.7409531500697623,0.5526315789473684,19
70,mean,0.7892743741188308,0.7654185414238422,0.4514493141868833,0.700634364922408,0.7497857537370607,0.7252100593297343,0.7252100593297343,0.7370710576451269,0.5411764705882354,17
142,mean,0.7886703242863331,0.7666696060144721,0.4536859134990286,0.6778993176189714,0.772993300906872,0.7254463092629215,0.7254463092629215,0.7497040267860471,0.5695652173913042,23
58,mean,0.7884451201880902,0.7638412605240337,0.4500710731882229,0.6911992445703495,0.7566736151941134,0.7239364298822314,0.7239364298822314,0.7404576640768754,0.5466666666666666,15
130,mean,0.7883706124358592,0.7671154538533455,0.4552825181270162,0.6922357332478131,0.7612029860851284,0.7267193596664707,0.7267193596664707,0.7441338349500518,0.556,25
22,mean,0.7873936077450764,0.7611686738698029,0.4409140807484612,0.6541226147843285,0.7810137723377342,0.7175681935610312,0.7175681935610312,0.7511742312002847,0.5692307692307692,13
94,mean,0.7854975709325919,0.756301678297335,0.434081426834394,0.6430836317636788,0.7848825877028881,0.7139831097332834,0.7139831097332834,0.7510309669521877,0.5727272727272726,11
46,mean,0.7842182413876314,0.7520776823991666,0.4304596686761204,0.6387424056158355,0.7861101608851355,0.7124262832504855,0.7124262832504855,0.7499284545126313,0.5666666666666667,9
10,mean,0.780467644770771,0.7432099437522226,0.4206685738606177,0.6159086535891818,0.7977162506458567,0.7068124521175192,0.7068124521175193,0.7527879821114039,0.5714285714285714,7
118,mean,0.772818802010045,0.728352029968146,0.3981007332958796,0.5545827320184582,0.828285228143318,0.691433980080888,0.691433980080888,0.7636175842486638,0.5999999999999999,5
82,mean,0.7560918513423662,0.7039560943016951,0.364328334811568,0.441174924724286,0.885272328825699,0.6632236267749925,0.6632236267749925,0.7935592273397793,0.6666666666666667,3
34,mean,0.6880376645821084,0.6274493708631962,0.0,0.0,1.0,0.5,0.5,0.0,1.0,1
35,std,0.011141657418797,0.0097330864491571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
119,std,0.0098967244264661,0.01050622270682,0.0117766906451884,0.0100225382800446,0.0073062604508381,0.0058275586760945,0.0058275586760945,0.0080840246066373,1.1102230246251563e-16,5
131,std,0.0085595642945664,0.0089675850764823,0.0174965401159135,0.0354261851573338,0.026048454160631,0.0093359764357523,0.0093359764357523,0.0127162077358683,0.0332264954516723,25
11,std,0.0084457055938276,0.0096200694459226,0.0066623561533958,0.0098783413080782,0.0051045108526541,0.0036279389167068,0.0036279389167068,0.0033673387201191,1.1644117316690923e-16,7
143,std,0.0082119645501927,0.0087002618032243,0.0171484989662439,0.0372960830821865,0.0238506087272112,0.0096061443960788,0.0096061443960788,0.0110286729271099,0.0304347826086956,23
83,std,0.0080359696195215,0.0080193710452361,0.0176528670370066,0.0126174026880262,0.0069071097942483,0.0084647553347524,0.0084647553347524,0.012666839955642,1.1102230246251563e-16,3
95,std,0.0080029952297397,0.0080057381873326,0.020178966730496,0.0587328806396491,0.0358530499201544,0.0130049344769343,0.0130049344769343,0.0169363358068018,0.0416597790450531,11
155,std,0.0078755356905312,0.0086192792359421,0.0152561371361015,0.0292664700405784,0.0218916995108453,0.0078303858742582,0.0078303858742582,0.0107366661868657,0.0319438282499969,21
107,std,0.0078025389670616,0.0078647224156491,0.0193063303567144,0.0365362858286404,0.0252029876108831,0.0100168028533077,0.0100168028533077,0.0126514078361322,0.0263157894736842,19
71,std,0.0076990147130543,0.0078570714318036,0.0181550938726284,0.0321920970710522,0.017658104783547,0.0096149407760296,0.0096149407760296,0.0077088142572442,0.0235294117647058,17
59,std,0.0074239699769325,0.0084091004648175,0.019963175014048,0.0473687592383367,0.0304467765803807,0.0110161193999567,0.0110161193999567,0.0124471326286705,0.0399999999999999,15
23,std,0.0072223326901343,0.0069305143394888,0.0194003019208428,0.0622950849526603,0.041489815524802,0.0118163964299032,0.0118163964299032,0.0179470709449698,0.0510249967746984,13
47,std,0.0068898558082819,0.0079732681268307,0.0201742167728785,0.0479030290660442,0.0247829939757335,0.0128760427122048,0.0128760427122048,0.0112712775169474,0.0333333333333333,9
